"reviewsCount","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","categoryName","location/lat","location/lng","totalScore","rank","price","street","url","imageUrl","state","phone","countryCode","address","city","website","description","googleFoodUrl","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","language","postalCode","title"
"29","Restoran Pempek","Restoran",,,,,,"Selasa","12.00 to 21.00","Rabu","12.00 to 21.00","Kamis","12.00 to 21.00","Jumat","12.00 to 21.00","Sabtu","12.00 to 21.00","Minggu","12.00 to 21.00","Senin","12.00 to 21.00","false","Restoran Pempek","0.494724","101.4854599","4.9","1",,"Jl. Harapan Raya, Simpang Bukit Barisan Raya No.31","https://www.google.com/maps/search/?api=1&query=Pempek%20Dolor%20Palembang&query_place_id=ChIJq4EYyNiv1TERozjXWOwoEL8","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeuH4_8FOSr0_DZBC6ogUlfM0-FnzwDF_t81g290V4QM-S5lIA1xussRim7z-4JbrABm888C2A_KiBmZz3X-8k-VMZy_XGg0-qUENfJo3SdfsbDzcAfKAHgjHmacyAwUyv1sy65w=w408-h725-k-no","Riau","+62 821-7222-8725","ID","Jl. Harapan Raya, Simpang Bukit Barisan Raya No.31, Tengkerang Tim., Kec. Tenayan, Kota Pekanbaru, Riau 28281, Indonesia","Kota Pekanbaru","https://chiciedho.bio.link/",,,,,,,,"id","28281","Pempek Dolor Palembang"
"35","Restoran Batak",,,,,,,"Selasa","09.00 to 22.00","Rabu","09.00 to 22.00","Kamis","09.00 to 22.00","Jumat","09.00 to 22.00","Sabtu","09.00 to 22.00","Minggu","09.00 to 22.00","Senin","09.00 to 22.00","false","Restoran Batak","0.5183452","101.4839731","4.6","2",,"Jl. Hangtuah No.299","https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Khas%20Batak%20%22Shalom%22&query_place_id=ChIJ528MOdSt1TERMbKGMmFeTXk","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noDm_CgLgLwEDG9tQvZhPM8C1rz4HIIgqM9SOxBYJ9LphHYwx7vovNOjZYDzvfW_P3ILpNapnkU_XfYNJvgwNCRC_XBgryLciEOLP5-ZXa8atrOaTO2CFP3rfDM2896h29s1ls=w426-h240-k-no","Riau","+62 812-6770-9926","ID","Jl. Hangtuah No.299, Rejosari, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28131","Rumah Makan Khas Batak ""Shalom"""
"47","Restoran soto",,,,,,,"Selasa","07.00 to 22.00","Rabu","07.00 to 22.00","Kamis","07.00 to 22.00","Jumat","07.00 to 11.30, 13.15 to 22.00","Sabtu","07.00 to 22.00","Minggu","07.00 to 22.00","Senin","07.00 to 22.00","false","Restoran soto","0.5196048","101.4894552","5","3",,"Jl. Indah Puri Garden, Perumahan Indah Puri Garden Blok-H No. 2","https://www.google.com/maps/search/?api=1&query=Soto%20Medan%20RUMAH%20KITA%2C%20Pekanbaru&query_place_id=ChIJc8bNzXKt1TERUcXnvqLydfQ","https://lh3.googleusercontent.com/p/AF1QipPr7Lln_ESr54jvN4pwI-HqW_GnzwsWXeJro2OE=w408-h306-k-no","Riau","+62 811-7676-168","ID","Jl. Indah Puri Garden, Perumahan Indah Puri Garden Blok-H No. 2, Rejosari, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28281, Indonesia","Kota Pekanbaru","http://www.instagram.com/rumahkita.pku",,,,,,,,"id","28281","Soto Medan RUMAH KITA, Pekanbaru"
"113","Restoran Batak",,,,,,,"Selasa","11.00 to 22.00","Rabu","11.00 to 22.00","Kamis","11.00 to 22.00","Jumat","11.00 to 22.00","Sabtu","11.00 to 22.00","Minggu","11.00 to 22.00","Senin","11.00 to 22.00","false","Restoran Batak","0.514855","101.4951843","4.5","4",,"GF7W+W3V","https://www.google.com/maps/search/?api=1&query=RM%20Khas%20Batak%20%22Lapo%20Pandoit%22&query_place_id=ChIJZ8ovGXau1TERQTHTFlFIp-Q","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPUwnAfQLyy0la3p8TMx5nAIr6FBqa52w9BSgZCHKUqIeNJSr2FhK4CYV9Nff2gkzatJBJS7TFZ1FdKey9kCwZoC-DXB4FN7XKwI2wxgEu9gCW6DbgYxfpaGaUV4UQk67pa04DkeQc9R-o=w408-h306-k-no","Riau","+62 812-6652-6357","ID","GF7W+W3V, Bencah Lesung, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28131","RM Khas Batak ""Lapo Pandoit"""
"12","Restoran Padang","Rumah Makan",,,,,,"Selasa","08.00 to 22.00","Rabu","08.00 to 22.00","Kamis","08.00 to 22.00","Jumat","08.00 to 22.00","Sabtu","08.00 to 22.00","Minggu","08.00 to 22.00","Senin","08.00 to 22.00","false","Restoran Padang","0.4956269","101.4927185","4.8","5",,"Jl. Harapan Raya No.88","https://www.google.com/maps/search/?api=1&query=Ampera%20Badhaso&query_place_id=ChIJjTbvkkKu1TERYgonWvWK41M","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocwbp69UzNG62q-xvt0bMmVsX4na-Vji4Uecnkx9E-rHqpmU5ItYKc2TCMhEYUin00SRNzJ1eo-VdP4Lvc085mGWbDcBYHlNFaea01RG2NiYEKlWbm7fhlT4QnM8G8KrLwLh4=w408-h725-k-no","Riau","+62 813-6577-3881","ID","Jl. Harapan Raya No.88, Tengkerang Tim., Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28131","Ampera Badhaso"
"29","Restoran Padang","Rumah Makan",,,,,,"Selasa","09.00 to 21.00","Rabu","09.00 to 21.00","Kamis","09.00 to 21.00","Jumat","09.00 to 21.00","Sabtu","09.00 to 21.00","Minggu","09.00 to 21.00","Senin","09.00 to 21.00","false","Restoran Padang","0.4953295","101.4956667","4.7","6",,"Jl. Imam Munandar No.Kelurahan","https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Alam%20Raya&query_place_id=ChIJhQ40td2v1TERyyZ77mkDd4Q","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhW9a7p0aQXP2a9IeaeMEmKLCfaMrp6V7sRl24roAo8khhiLjvUMqQXXAj5X_jtz5GvCh4G0mfilbBK_zBmvBPZ6VvHXFBHS9PbNsiVOT9DB38u7rgXtdGxyR-AbsRLHnaTGutBg=w408-h544-k-no","Riau","+62 812-6715-029","ID","Jl. Imam Munandar No.Kelurahan, Tengkerang Tim., Kec. Tenayan Raya, Kota Pekanbaru, Riau 28286, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28286","Rumah Makan Alam Raya"
"0","Restoran Padang",,,,,,,,,,,,,,,,,,,,,"false","Restoran Padang","0.4977982","101.5019787",,"7",,"Jl. Sekuntum No.22","https://www.google.com/maps/search/?api=1&query=Ampera%20Salero%20Basamo&query_place_id=ChIJDxj8XgCv1TERpGWplhf3leQ",,"Riau",,"ID","Jl. Sekuntum No.22, Bencah Lesung, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28131","Ampera Salero Basamo"
"1","Restoran Masakan Ayam","Restoran Mie","Restoran Soto Ayam",,,,,"Selasa","10.00 to 17.00","Rabu","10.00 to 17.00","Kamis","10.00 to 17.00","Jumat","10.00 to 17.00","Sabtu","10.00 to 17.00","Minggu","Tutup","Senin","10.00 to 17.00","false","Restoran Masakan Ayam","0.4902707","101.495043","5","8",,"Unnamed Road","https://www.google.com/maps/search/?api=1&query=AYAM%20COMEBACK&query_place_id=ChIJHzPJN0Su1TERK4Hqbb-w_04","https://lh3.googleusercontent.com/p/AF1QipOXC_oh1YNFLWFf4_km6EvidJRjzkRybqH6k_Ve=w428-h240-k-no","Riau","+62 813-7284-7658","ID","Unnamed Road, Tengkerang Timur, Tenayan Raya, Pekanbaru City, Riau 28131, Indonesia","Kota Pekanbaru","https://www.instagram.com/ayamcomeback.pku/",,,,,,,,"id","28131","AYAM COMEBACK"
"50","Restoran Nasi Goreng",,,,,,,"Selasa","15.00 to 03.00","Rabu","15.00 to 03.00","Kamis","15.00 to 00.00","Jumat","16.00 to 03.00","Sabtu","16.00 to 03.00","Minggu","15.00 to 03.00","Senin","15.00 to 03.00","false","Restoran Nasi Goreng","0.5049032","101.5009542","4.6","9",,"Jl. Hangtuah No.122","https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Anak%20Rantau&query_place_id=ChIJG87bN5Gv1TER8s_L_h5PMPs","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPqKcUtq4ktFSYQJt6O0VYGesSTBXBkacgWJLMsDGrXCRKJzsRjEz24X64h-zAe8N53Fq7MFXOI7_nD1aey6-HGvxka6nfxjRpptG_wFrmt4q6E5nCAYz8-kSt9S7-CHvSS0Pteg=w408-h306-k-no","Riau","+62 822-8413-5875","ID","Jl. Hangtuah No.122, Bencah Lesung, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28131","Nasi Goreng Anak Rantau"
"11","Restoran Padang",,,,,,,"Selasa","11.00 to 22.00","Rabu","11.00 to 22.00","Kamis","11.00 to 22.00","Jumat","11.00 to 22.00","Sabtu","11.00 to 22.00","Minggu","11.00 to 22.00","Senin","11.00 to 22.00","false","Restoran Padang","0.4882417","101.4902466","4.6","10",,"Jl. Bukit Barisan No.Kelurahan","https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Uni%20Ijah&query_place_id=ChIJLb2UZ6qv1TERTagoKxD-_0Q","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no30Ru_ejOt690QKd2NMy32T2pQamjV96PdsWGjcU5kOc14LDbUj8cRmqDOhl4yXEkm09SgM3zbQybqPbrRBSXgOIhO5nxqAad8KpezYxClZAJi0t-2zsGnwAOVftkejy4nR908Rw=w533-h240-k-no","Riau","+62 813-7445-1411","ID","Jl. Bukit Barisan No.Kelurahan, Tengkerang Tim., Kec. Tenayan Raya, Kota Pekanbaru, Riau 28289, Indonesia","Kota Pekanbaru",,,,,,,,,"id","28289","Rumah Makan Uni Ijah"
